Asia/Kolkata,+05:30,+05:30,IST,IST
Asia/Krasnoyarsk,+07:00,+07:00,KRAT,KRAT
Asia/Kuala_Lumpur,+08:00,+08:00,MYT,MYT
Asia/Kuching,+08:00,+08:00,MYT,MYT
Asia/Kuwait,+03:00,+03:00,AsT,AsT
Asia/Macao,+08:00,+08:00,CST,CST
Asia/Macau,+08:00,+08:00,CST,CST
Asia/Magadan,+11:00,+11:00,MAGT,MAGT
Asia/Makassar,+08:00,+08:00,WITA,WITA
Asia/Manila,+08:00,+08:00,PST,PST
Asia/Muscat,+04:00,+04:00,GST,GST
Asia/Nicosia,+02:00,+03:00,EET,EEST
Asia/Novokuznetsk,+07:00,+07:00,KRAT,KRAT
Asia/Novosibirsk,+07:00,+07:00,NOVT,NOVT
Asia/Omsk,+06:00,+06:00,OMST,OMST
Asia/Oral,+05:00,+05:00,ORAT,ORAT
Asia/Phnom_Penh,+07:00,+07:00,ICT,ICT
Asia/Pontianak,+07:00,+07:00,WIB,WIB
Asia/Pyongyang,+09:00,+09:00,KST,KST
Asia/Qatar,+03:00,+03:00,AsT,AsT
Asia/Qostanay,+05:00,+05:00,UTC+5,UTC+5
Asia/Qyzylorda,+05:00,+05:00,QYZT,QYZT
Asia/Rangoon,+06:30,+06:30,UTC+6.5,UTC+6.5
Asia/Riyadh,+03:00,+03:00,AsT,AsT
Asia/Saigon,+07:00,+07:00,ICT,ICT
Asia/Sakhalin,+11:00,+11:00,SAKT,SAKT
Asia/Samarkand,+05:00,+05:00,UZT,UZT
Asia/Seoul,+09:00,+09:00,KST,KST
Asia/Shanghai,+08:00,+08:00,CST,CST
Asia/Singapore,+08:00,+08:00,SGT,SGT
Asia/Srednekolymsk,+11:00,+11:00,SRET,SRET
Asia/Taipei,+08:00,+08:00,CST,CST
Asia/Tashkent,+05:00,+05:00,UZT,UZT
Asia/Tbilisi,+04:00,+04:00,GET,GET
Asia/Tehran,+03:30,+03:30,IRST,IRST
Asia/Tel_Aviv,+02:00,+03:00,IST,IDT
Asia/Thimbu,+06:00,+06:00,BTT,BTT
Asia/Thimphu,+06:00,+06:00,BTT,BTT
Asia/Tokyo,+09:00,+09:00,JST,JST
Asia/Tomsk,+07:00,+07:00,KRAT,KRAT
Asia/Ujung_Pandang,+08:00,+08:00,WITA,WITA
Asia/Ulaanbaatar,+08:00,+08:00,ULAT,ULAT
Asia/Ulan_Bator,+08:00,+08:00,ULAT,ULAT
Asia/Urumqi,+06:00,+06:00,XJT,XJT
Asia/Ust-Nera,+10:00,+10:00,MAGT,MAGT
Asia/Vientiane,+07:00,+07:00,ICT,ICT
Asia/Vladivostok,+10:00,+10:00,VLAT,VLAT
Asia/Yakutsk,+09:00,+09:00,YAKT,YAKT
Asia/Yangon,+06:30,+06:30,UTC+6.5,UTC+6.5
Asia/Yekaterinburg,+05:00,+05:00,YEKT,YEKT
Asia/Yerevan,+04:00,+04:00,AMT,AMT
Atlantic/Azores,-01:00,+00:00,AZOT,AZOST
Atlantic/Bermuda,-04:00,-03:00,AsT,ADT
Atlantic/Canary,+00:00,+01:00,WET,WEST
Atlantic/Cape_Verde,-01:00,-01:00,UTC-1,UTC-1
Atlantic/Faeroe,+00:00,+01:00,WET,WEST
Atlantic/Faroe,+00:00,+01:00,WET,WEST
Atlantic/Jan_Mayen,+01:00,+02:00,CET,CEST
Atlantic/Madeira,+00:00,+01:00,WET,WEST
Atlantic/Reykjavik,+00:00,+00:00,GMT,GMT
Atlantic/South_Georgia,-02:00,-02:00,GST,GST
Atlantic/St_Helena,+00:00,+00:00,GMT,GMT
Atlantic/Stanley,-03:00,-03:00,FKST,FKST
Australia/ACT,+11:00,+10:00,AEDT,AEST
